Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2018-11-01,236.0,237.0,233.0,235.5,203.8990936279297,41974797,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-02,236.5,236.5,233.5,236.5,204.76490783691406,30722361,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-05,233.0,235.5,232.0,235.0,203.46615600585938,25452065,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-06,234.0,235.5,232.5,234.5,203.03329467773438,30468176,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-07,233.0,236.0,232.5,234.0,202.6004180908203,34424652,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-08,237.5,237.5,236.0,236.5,204.76490783691406,24739146,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-09,234.5,234.5,231.0,231.0,200.00294494628906,23219081,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-12,230.0,234.5,230.0,231.5,200.43580627441406,23228445,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-13,224.5,228.0,224.5,227.5,196.9725799560547,36104127,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-14,230.0,231.0,228.5,228.5,197.8384246826172,20028279,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-15,229.5,232.0,228.5,231.0,200.00294494628906,22072228,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-16,229.0,229.0,225.0,226.0,195.67385864257812,46738909,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-19,225.0,225.0,221.0,222.0,192.2106170654297,48944754,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-20,219.0,220.5,218.0,218.0,188.7473602294922,41569756,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-21,214.5,220.0,214.0,219.0,189.6131591796875,35206343,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-22,221.5,222.0,219.0,219.0,189.6131591796875,21929610,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-23,220.5,220.5,217.0,218.5,189.18026733398438,14883334,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-26,219.0,224.0,218.5,223.0,193.07643127441406,30599804,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-27,220.0,224.5,219.0,224.0,193.94224548339844,26584349,227.9286,227.9286,227.9286,227.9286,239.989,215.111
2018-11-28,222.5,227.0,222.0,226.5,196.1067657470703,24429026,227.875,39.2857,227.875,6.4642,239.989,215.111
2018-11-29,231.5,231.5,229.0,229.0,198.2713165283203,44383207,227.55,42.6966,227.55,6.2195,239.989,215.111
